tradition,year,title,file,fk_grade,flesch_ease,word_count,type_token_ratio,avg_word_length,avg_sentence_length,hedge_rate,fp_plural_rate,fp_singular_rate,theol_juridical_rate,theol_pastoral_rate,theol_ecumenical_rate,theol_modern_world_rate,theol_scripture_rate,theol_tradition_rate,paraphrased,conservative_resurgence,document_type,pope,pre_vii,council_period,cosine_sim_to_prev
lds,1906,1906 10 ia conference report,1906_10_ia_conference_report.txt,10.78,64.78,75645,0.0894,4.203,26.38,0.00512,0.0241,0.01921,0.00182,0.00032,0.00208,0.00414,0.0042,0.00054,False,,,,,,0.8995
lds,1907,1907 04 ia conference report,1907_04_ia_conference_report.txt,11.47,60.88,76639,0.0957,4.3,26.97,0.00574,0.02246,0.0185,0.00217,0.00025,0.00202,0.00368,0.00431,0.00056,False,,,,,,0.9143
lds,1907,1907 10 ia conference report,1907_10_ia_conference_report.txt,11.88,60.33,77599,0.0967,4.268,28.33,0.00579,0.02067,0.0183,0.00146,0.00017,0.00169,0.00374,0.00445,0.00035,False,,,,,,0.92
lds,1908,1908 04 ia conference report,1908_04_ia_conference_report.txt,11.36,63.22,74412,0.087,4.199,27.85,0.00535,0.02391,0.0199,0.00223,0.00022,0.00195,0.00347,0.00496,0.00069,False,,,,,,0.9006
lds,1908,1908 10 ia conference report,1908_10_ia_conference_report.txt,11.69,62.24,77934,0.0931,4.204,28.64,0.00599,0.02447,0.01957,0.0026,0.00033,0.00192,0.00362,0.0045,0.00037,False,,,,,,0.9276
lds,1909,1909 04 ia conference report,1909_04_ia_conference_report.txt,11.15,63.5,75554,0.0924,4.21,27.15,0.00597,0.02294,0.0189,0.00208,0.00026,0.00161,0.00409,0.00494,0.00048,False,,,,,,0.9217
lds,1909,1909 10 ia conference report,1909_10_ia_conference_report.txt,11.2,63.38,75143,0.0948,4.204,27.29,0.00603,0.02292,0.02043,0.00189,0.00015,0.00214,0.00256,0.00338,0.00025,False,,,,,,0.9116
lds,1910,1910 04 ia conference report,1910_04_ia_conference_report.txt,11.25,62.87,69495,0.0932,4.208,27.21,0.00544,0.02071,0.02076,0.00092,0.00029,0.00187,0.00305,0.00566,0.00033,False,,,,,,0.9195
lds,1911,1911 04 ia conference report,1911_04_ia_conference_report.txt,11.87,60.96,79911,0.0892,4.239,28.62,0.00474,0.02249,0.01699,0.00168,0.00021,0.0017,0.00409,0.00343,0.00041,False,,,,,,0.9153
lds,1911,1911 10 ia conference report,1911_10_ia_conference_report.txt,11.57,62.49,80976,0.0869,4.195,28.29,0.00569,0.02229,0.01698,0.00165,0.00022,0.00179,0.00489,0.00532,0.00032,False,,,,,,0.9173
lds,1912,1912 10 ia conference report,1912_10_ia_conference_report.txt,11.98,60.88,81959,0.0888,4.228,29.05,0.00575,0.02348,0.01786,0.00222,0.00033,0.00203,0.00372,0.0058,0.00041,False,,,,,,0.9184
lds,1913,1913 10 ia conference report,1913_10_ia_conference_report.txt,12.04,60.87,84968,0.0851,4.215,29.25,0.00481,0.02227,0.02082,0.00194,0.00015,0.00207,0.00428,0.00541,0.00055,False,,,,,,0.922
lds,1914,1914 04 ia conference report,1914_04_ia_conference_report.txt,12.01,59.56,76652,0.0941,4.281,28.43,0.0053,0.01888,0.01765,0.00187,0.00029,0.00202,0.00416,0.00459,0.00031,False,,,,,,0.9157
lds,1914,1914 10 ia conference report,1914_10_ia_conference_report.txt,11.83,61.57,79778,0.0904,4.217,28.82,0.0059,0.02348,0.01539,0.00149,0.0004,0.00203,0.00377,0.00376,0.00029,False,,,,,,0.89
